f_25,f_18,f_22,f_24,f_13,f_14,f_19,f_0,f_15,f_11,f_9,f_12,f_10,f_21,f_8,f_2,f_3,f_7,f_20,f_16,f_6,f_26,f_23,f_4,f_17,f_5,f_1
7,1,1,4,9953,1,1,False,False,Married,Research Scientist,3936,2,2,1,Research & Development,10,3,8,11,2,7,8,3,3,Medical,Travel_Rarely
1,3,3,0,19655,4,0,False,False,Married,Human Resources,2187,2,3,1,Human Resources,2,3,6,14,3,2,2,3,3,Human Resources,Travel_Rarely
1,2,3,3,19899,1,0,False,True,Single,Sales Executive,5666,4,1,2,Sales,10,3,6,13,3,3,5,3,3,Technical Degree,Non-Travel
0,3,2,0,10558,1,0,True,False,Single,Laboratory Technician,2293,3,2,1,Research & Development,25,1,1,12,1,1,1,3,3,Life Sciences,Travel_Rarely
9,1,3,9,9278,9,2,False,False,Married,Research Scientist,3697,4,3,2,Research & Development,8,3,12,14,4,8,10,4,3,Other,Travel_Rarely
0,3,3,0,16900,1,2,False,False,Married,Laboratory Technician,1281,3,3,1,Research & Development,3,2,1,18,3,0,1,3,3,Life Sciences,Non-Travel
1,1,3,4,22845,1,1,True,False,Married,Laboratory Technician,4883,3,3,2,Research & Development,7,3,10,18,4,1,10,2,3,Life Sciences,Travel_Rarely
1,2,4,2,22645,4,2,False,False,Divorced,Manufacturing Director,4262,4,2,2,Research & Development,19,3,8,12,4,2,3,3,3,Technical Degree,Travel_Rarely
0,4,3,0,3692,1,1,False,False,Married,Sales Representative,2856,2,3,1,Sales,3,3,1,19,2,0,1,3,3,Medical,Travel_Rarely
1,3,3,7,22495,3,1,False,True,Married,Laboratory Technician,2213,3,3,1,Research & Development,10,4,10,13,4,7,7,4,3,Life Sciences,Travel_Rarely
0,4,3,4,26959,1,0,True,True,Single,Sales Executive,5744,3,1,2,Sales,5,2,6,11,3,3,6,3,3,Marketing,Travel_Rarely
0,4,3,4,4956,0,1,False,False,Married,Research Scientist,2703,2,3,1,Research & Development,2,3,6,23,3,4,5,3,4,Life Sciences,Travel_Rarely
0,4,3,0,6689,1,1,True,True,Married,Laboratory Technician,2319,1,1,1,Research & Development,1,2,1,11,2,0,1,2,3,Life Sciences,Travel_Rarely
5,1,3,8,24301,1,0,False,False,Single,Sales Executive,5010,3,0,2,Sales,6,3,12,16,2,7,11,4,3,Medical,Travel_Rarely
0,2,2,0,3811,1,1,False,False,Married,Research Scientist,2862,4,2,1,Research & Development,16,3,10,12,2,8,10,1,3,Life Sciences,Travel_Rarely
0,1,2,2,4244,2,2,False,True,Married,Sales Representative,5405,4,4,2,Sales,2,1,20,20,2,3,4,4,4,Marketing,Travel_Rarely
0,4,3,5,12682,0,0,False,True,Single,Laboratory Technician,4193,3,3,2,Research & Development,15,2,10,12,4,8,9,2,3,Life Sciences,Travel_Rarely
2,1,3,2,5288,3,1,False,False,Divorced,Laboratory Technician,4364,4,2,1,Research & Development,1,1,5,14,1,0,2,2,3,Life Sciences,Travel_Frequently
1,1,3,7,21457,4,1,False,False,Married,Healthcare Representative,9991,1,5,3,Research & Development,6,2,9,15,4,7,7,1,3,Medical,Travel_Rarely
0,4,3,2,6039,0,0,False,True,Single,Sales Executive,4538,1,3,2,Sales,2,3,4,12,3,2,3,3,3,Marketing,Travel_Rarely
0,4,3,0,26619,1,1,True,True,Divorced,Laboratory Technician,2074,1,2,1,Research & Development,2,3,1,12,1,0,1,3,3,Life Sciences,Travel_Rarely
0,3,3,2,8556,5,0,True,True,Single,Research Scientist,2657,1,5,1,Research & Development,3,3,8,11,4,4,5,3,3,Technical Degree,Travel_Rarely
0,3,3,0,19730,2,3,False,True,Divorced,Manager,14756,3,2,4,Research & Development,8,3,21,14,4,2,5,3,3,Medical,Travel_Rarely
0,4,3,0,11983,6,0,False,False,Single,Laboratory Technician,5094,3,6,2,Research & Development,16,2,10,14,1,0,1,4,3,Medical,Travel_Frequently
0,2,3,0,9150,1,0,True,True,Single,Sales Representative,2851,3,2,1,Sales,5,3,1,13,4,0,1,3,3,Marketing,Travel_Rarely
0,1,3,0,21447,6,0,False,False,Single,Sales Executive,6815,3,5,2,Sales,1,3,15,13,2,0,1,4,3,Life Sciences,Travel_Rarely
0,4,3,3,14363,1,0,False,True,Married,Sales Executive,4194,1,3,2,Sales,3,3,5,18,3,3,5,1,3,Other,Travel_Rarely
15,3,3,18,6462,7,0,False,False,Single,Research Director,19537,3,5,5,Research & Development,6,3,23,13,1,15,20,3,3,Life Sciences,Travel_Rarely
1,2,2,2,12477,2,0,False,False,Married,Sales Executive,6232,3,3,2,Sales,18,4,6,11,1,2,3,1,3,Life Sciences,Travel_Rarely
4,4,3,7,21173,0,1,False,False,Married,Sales Executive,6825,2,2,2,Sales,8,3,10,11,3,2,9,4,3,Marketing,Travel_Rarely
0,3,3,3,4824,0,0,False,False,Single,Healthcare Representative,5661,1,2,2,Research & Development,16,4,9,19,2,7,8,2,3,Medical,Travel_Rarely
9,1,3,9,20308,1,1,False,False,Divorced,Laboratory Technician,5210,1,2,3,Research & Development,7,3,24,18,1,11,24,3,3,Life Sciences,Travel_Frequently
0,3,2,0,10092,2,0,True,True,Single,Sales Executive,8564,1,2,3,Sales,16,3,11,20,1,0,0,3,4,Life Sciences,Travel_Rarely
1,4,3,0,6961,2,1,False,False,Married,Laboratory Technician,2238,1,2,1,Research & Development,9,3,7,21,3,4,5,4,4,Life Sciences,Travel_Rarely
1,1,3,9,25811,4,1,False,True,Married,Manager,19636,2,0,5,Human Resources,26,4,35,18,3,4,10,4,3,Human Resources,Travel_Rarely
0,4,1,1,21203,3,1,False,True,Married,Research Scientist,4422,4,3,2,Research & Development,26,2,16,13,3,0,1,2,3,Medical,Travel_Frequently
1,4,4,4,2253,7,0,False,False,Single,Sales Executive,5155,1,3,2,Sales,4,3,9,13,2,5,6,4,3,Marketing,Travel_Rarely
0,3,2,0,5355,7,0,True,False,Single,Laboratory Technician,2561,1,2,1,Research & Development,2,2,8,11,3,0,0,2,3,Medical,Travel_Frequently
0,3,3,0,14947,1,3,False,False,Divorced,Sales Representative,2827,1,3,1,Sales,2,3,1,12,3,0,1,1,3,Life Sciences,Non-Travel
3,3,3,8,12287,4,0,False,False,Single,Laboratory Technician,2519,3,6,1,Research & Development,2,3,16,21,3,9,11,4,4,Medical,Travel_Rarely
4,4,3,1,7360,3,0,False,False,Single,Healthcare Representative,6142,3,2,2,Research & Development,8,3,10,11,2,3,5,2,3,Medical,Travel_Rarely
0,2,2,6,5596,4,1,False,True,Divorced,Sales Executive,10368,4,5,3,Sales,2,3,13,12,3,3,10,3,3,Life Sciences,Travel_Rarely
1,2,1,4,21831,3,0,True,False,Single,Laboratory Technician,2018,1,3,1,Research & Development,9,3,15,14,4,0,5,4,3,Life Sciences,Travel_Rarely
13,4,4,13,2845,4,0,False,False,Married,Sales Executive,10266,1,5,3,Sales,28,2,22,19,3,11,18,3,3,Marketing,Travel_Frequently
0,4,4,3,4344,1,1,False,False,Married,Laboratory Technician,2500,1,2,1,Research & Development,9,3,5,14,2,2,4,1,3,Medical,Travel_Rarely
0,3,3,0,15999,1,0,True,True,Married,Laboratory Technician,2398,1,6,1,Research & Development,8,3,1,17,3,0,1,1,3,Medical,Travel_Rarely
1,1,3,3,6705,7,3,True,False,Divorced,Laboratory Technician,3408,4,2,1,Research & Development,10,1,8,13,1,3,4,1,3,Medical,Travel_Rarely
0,3,1,0,8018,1,0,False,False,Single,Research Scientist,1514,3,4,1,Research & Development,14,3,0,16,2,0,0,3,3,Medical,Non-Travel
0,3,1,0,14935,2,0,True,False,Single,Laboratory Technician,3485,3,5,1,Research & Development,2,3,5,11,1,0,0,4,3,Life Sciences,Travel_Rarely
0,3,3,3,23333,8,0,False,False,Single,Sales Executive,4850,3,3,2,Sales,20,3,8,15,4,1,5,3,3,Life Sciences,Travel_Rarely
0,1,3,0,17434,1,1,False,False,Married,Sales Representative,2476,2,3,1,Sales,2,3,1,18,3,0,1,1,3,Technical Degree,Travel_Rarely
3,4,3,9,14811,1,0,False,False,Single,Research Scientist,4332,3,2,2,Research & Development,23,2,20,12,4,7,20,2,3,Life Sciences,Non-Travel
1,2,3,2,22422,4,0,False,True,Married,Research Director,16880,1,2,4,Research & Development,28,3,25,11,4,2,3,3,3,Life Sciences,Travel_Rarely
3,3,3,8,3297,1,3,False,True,Married,Laboratory Technician,3221,3,3,1,Research & Development,28,4,20,11,4,8,20,1,3,Medical,Travel_Rarely
7,1,3,3,4022,6,0,False,False,Single,Manager,19717,2,4,5,Human Resources,8,3,36,14,4,7,7,4,3,Life Sciences,Travel_Rarely
1,4,3,0,21143,8,2,False,False,Divorced,Healthcare Representative,6384,3,3,2,Research & Development,29,1,11,17,4,6,7,1,3,Life Sciences,Travel_Rarely
6,4,2,2,21057,1,2,True,True,Married,Manufacturing Director,6179,3,3,2,Research & Development,22,3,10,15,4,7,10,4,3,Medical,Travel_Rarely
0,3,3,2,12066,8,0,False,False,Single,Healthcare Representative,10965,3,2,3,Research & Development,7,2,26,24,2,0,5,3,4,Other,Travel_Rarely
10,3,4,9,7815,0,0,True,True,Single,Sales Executive,4599,2,2,2,Sales,24,2,16,23,1,10,15,4,4,Medical,Travel_Rarely
1,1,3,3,9125,1,0,False,False,Single,Sales Executive,4684,4,4,2,Sales,10,3,5,13,3,2,5,3,3,Medical,Travel_Rarely
0,1,3,7,26283,1,1,False,False,Married,Manufacturing Director,4319,3,1,2,Research & Development,1,3,10,13,4,9,10,1,3,Technical Degree,Non-Travel
0,4,4,2,14293,2,2,False,False,Divorced,Research Scientist,4771,4,0,1,Research & Development,9,3,10,19,2,3,5,2,3,Life Sciences,Travel_Rarely
1,1,3,7,10675,0,0,False,False,Single,Laboratory Technician,2455,4,5,1,Research & Development,10,3,9,19,3,7,8,4,3,Life Sciences,Travel_Frequently
1,2,3,7,14618,0,1,True,False,Married,Manufacturing Director,10169,4,4,3,Research & Development,2,2,34,16,3,9,33,5,3,Technical Degree,Travel_Rarely
1,2,3,0,19783,1,0,True,True,Single,Laboratory Technician,2926,4,5,1,Research & Development,6,2,1,18,4,0,1,3,3,Life Sciences,Travel_Frequently
0,1,3,2,22154,0,0,True,False,Single,Research Scientist,3904,1,2,1,Research & Development,23,3,6,13,3,3,5,3,3,Medical,Travel_Rarely
0,2,3,4,12154,2,1,False,False,Married,Research Scientist,2942,3,4,1,Research & Development,9,3,18,19,1,3,5,3,3,Medical,Travel_Frequently
0,2,3,0,13436,6,1,False,False,Married,Laboratory Technician,3448,3,3,2,Research & Development,2,2,20,22,2,0,1,3,4,Medical,Travel_Rarely
2,2,2,2,5843,6,0,True,True,Single,Sales Executive,10448,1,2,3,Sales,24,3,15,13,1,2,2,4,3,Life Sciences,Travel_Rarely
1,3,2,5,25518,0,2,False,False,Divorced,Research Scientist,5470,2,4,2,Research & Development,2,3,10,13,4,6,9,3,3,Medical,Travel_Rarely
0,3,3,0,8571,1,0,False,True,Single,Sales Executive,4163,4,0,2,Sales,4,3,9,17,4,7,9,2,3,Life Sciences,Travel_Rarely
0,3,2,0,16620,5,0,False,False,Single,Laboratory Technician,2559,2,4,1,Research & Development,2,4,7,11,4,0,1,2,3,Technical Degree,Travel_Rarely
7,2,2,0,4257,0,0,False,False,Single,Laboratory Technician,2838,3,6,1,Research & Development,6,2,8,14,2,7,7,2,3,Medical,Travel_Frequently
0,3,1,4,22149,5,1,True,True,Married,Laboratory Technician,2436,4,2,1,Research & Development,14,3,8,13,3,4,5,3,3,Medical,Travel_Rarely
1,2,3,3,20623,0,0,False,False,Single,Sales Executive,4950,4,4,2,Sales,10,3,5,14,3,1,4,4,3,Life Sciences,Travel_Rarely
1,1,2,12,26236,1,1,False,False,Divorced,Healthcare Representative,6306,3,2,2,Research & Development,1,3,13,21,3,9,13,4,4,Life Sciences,Non-Travel
4,3,2,8,19989,3,1,False,False,Divorced,Manufacturing Director,8578,4,4,3,Research & Development,2,3,12,14,4,7,9,2,3,Life Sciences,Travel_Rarely
9,1,2,8,8935,1,1,False,True,Divorced,Sales Executive,9852,3,5,3,Sales,2,3,10,19,4,6,10,4,3,Life Sciences,Non-Travel
0,3,3,0,13983,2,0,False,False,Married,Manufacturing Director,6132,3,2,2,Research & Development,7,2,10,17,2,0,1,4,3,Medical,Travel_Rarely
1,4,3,2,23737,5,1,False,False,Divorced,Research Scientist,3537,2,1,1,Research & Development,22,2,8,12,1,2,4,3,3,Technical Degree,Travel_Rarely
0,4,3,2,2227,4,0,False,True,Divorced,Healthcare Representative,4522,3,3,2,Research & Development,8,3,8,14,3,2,5,4,3,Other,Travel_Rarely
0,3,3,0,26551,1,3,False,False,Divorced,Laboratory Technician,2694,2,4,1,Research & Development,9,2,1,11,3,0,1,3,3,Life Sciences,Non-Travel
2,1,3,2,21981,0,1,False,False,Married,Sales Representative,2791,4,4,1,Sales,20,4,3,12,3,2,2,3,3,Life Sciences,Travel_Frequently
10,3,3,13,20251,0,1,False,False,Married,Laboratory Technician,3210,4,4,1,Research & Development,6,3,16,11,4,11,15,3,3,Life Sciences,Travel_Rarely
0,4,3,0,8059,1,0,True,True,Single,Sales Representative,1878,2,3,1,Sales,5,3,0,14,2,0,0,3,3,Marketing,Travel_Frequently
0,1,2,4,3708,5,1,False,False,Married,Laboratory Technician,3294,2,2,1,Research & Development,1,2,7,17,4,2,5,3,3,Life Sciences,Travel_Rarely
0,4,3,3,24152,1,0,False,False,Single,Manufacturing Director,4320,2,2,2,Research & Development,25,2,5,13,4,2,5,3,3,Life Sciences,Travel_Rarely
1,1,2,5,5829,1,0,False,False,Married,Sales Executive,5714,3,3,2,Sales,9,3,6,20,2,3,6,1,4,Life Sciences,Travel_Rarely
0,2,3,2,3339,3,0,False,True,Single,Research Scientist,2799,1,1,1,Research & Development,1,2,6,11,3,2,3,4,3,Other,Travel_Rarely
8,4,4,7,7507,7,0,False,False,Single,Sales Executive,8381,1,2,2,Sales,1,3,18,20,4,10,14,1,4,Medical,Travel_Rarely
1,4,3,0,8040,1,0,True,True,Single,Sales Representative,1118,4,4,1,Sales,24,1,1,14,3,0,1,1,3,Life Sciences,Travel_Frequently
1,3,2,7,17725,4,1,True,True,Divorced,Laboratory Technician,2778,4,1,1,Research & Development,2,1,10,13,2,0,7,4,3,Life Sciences,Travel_Rarely
3,4,3,7,3872,7,0,True,True,Single,Research Scientist,2216,2,4,1,Research & Development,1,1,10,13,1,7,7,2,3,Life Sciences,Travel_Rarely
1,1,3,2,18398,0,0,False,False,Single,Sales Representative,2983,2,3,1,Sales,7,3,4,14,4,2,3,1,3,Marketing,Travel_Rarely
0,4,4,2,5915,1,1,False,True,Divorced,Sales Executive,4260,3,2,2,Sales,10,3,5,12,4,3,5,4,3,Marketing,Travel_Rarely
2,4,3,2,24835,2,0,False,False,Married,Sales Executive,8639,3,3,2,Sales,28,2,6,18,1,2,2,3,3,Life Sciences,Travel_Rarely
1,2,2,3,23726,2,1,False,True,Married,Laboratory Technician,5231,4,1,2,Research & Development,3,4,17,13,3,3,5,3,3,Life Sciences,Travel_Rarely
0,4,2,8,24406,1,1,False,False,Married,Sales Executive,6932,3,2,2,Sales,20,3,9,13,4,0,9,2,3,Marketing,Non-Travel
0,1,3,0,15232,3,0,False,False,Single,Research Scientist,4680,4,2,1,Research & Development,10,4,4,17,4,0,1,2,3,Life Sciences,Travel_Rarely
4,2,3,7,19627,3,1,False,True,Divorced,Laboratory Technician,5679,3,3,2,Research & Development,9,3,10,13,4,7,8,5,3,Medical,Travel_Frequently
0,3,2,2,9250,2,1,False,False,Divorced,Sales Executive,4403,4,3,2,Sales,13,3,8,11,2,3,5,4,3,Life Sciences,Travel_Rarely
12,3,3,8,20689,2,1,False,True,Married,Healthcare Representative,11245,3,3,4,Research & Development,20,3,32,15,2,13,30,5,3,Medical,Travel_Frequently
7,2,3,4,10748,2,1,False,False,Divorced,Healthcare Representative,4448,1,3,2,Research & Development,12,3,15,12,2,7,7,3,3,Life Sciences,Travel_Rarely
1,4,3,3,6409,8,0,False,False,Single,Laboratory Technician,3597,2,2,1,Research & Development,24,3,6,22,4,2,4,3,4,Medical,Travel_Rarely
1,1,2,7,22977,1,1,False,True,Married,Research Scientist,3564,1,3,1,Research & Development,21,4,8,12,2,7,8,3,3,Life Sciences,Travel_Rarely
3,4,2,2,10778,0,0,False,False,Married,Laboratory Technician,3162,4,2,1,Research & Development,4,2,6,17,1,4,5,1,3,Life Sciences,Non-Travel
0,3,3,0,2755,1,0,False,False,Single,Sales Representative,2642,3,6,1,Sales,10,3,1,11,3,0,1,3,3,Life Sciences,Travel_Rarely
13,3,1,8,18611,2,1,False,True,Married,Healthcare Representative,10124,4,3,3,Research & Development,2,3,24,14,4,9,20,3,3,Life Sciences,Travel_Frequently
0,4,2,5,17089,1,0,False,True,Married,Healthcare Representative,6833,1,2,2,Research & Development,11,3,6,12,3,1,6,2,3,Medical,Travel_Rarely
1,2,3,2,3498,3,2,False,False,Married,Research Director,16413,2,2,4,Research & Development,22,3,27,16,1,2,4,4,3,Other,Travel_Rarely
0,4,3,1,18410,1,1,False,True,Married,Sales Representative,2220,3,2,1,Sales,10,3,1,19,3,0,1,4,3,Life Sciences,Travel_Rarely
2,2,3,2,11868,4,1,False,False,Married,Research Scientist,2543,3,3,1,Research & Development,2,3,6,13,4,2,2,3,3,Life Sciences,Travel_Rarely
0,3,4,0,14470,1,1,True,False,Married,Sales Representative,2033,1,2,1,Sales,12,2,1,18,2,0,1,4,3,Life Sciences,Travel_Frequently
2,2,3,13,23016,0,0,False,False,Single,Sales Executive,4312,1,2,2,Sales,1,2,16,14,3,8,15,4,3,Marketing,Travel_Rarely
7,2,3,7,8450,1,0,True,True,Single,Sales Executive,5828,4,0,2,Sales,4,2,8,12,4,4,8,4,3,Marketing,Travel_Rarely
1,4,2,7,3549,0,1,False,True,Divorced,Research Director,19049,4,4,5,Research & Development,7,3,23,14,2,10,22,3,3,Medical,Travel_Rarely
0,4,2,2,2613,1,1,False,False,Married,Research Scientist,2070,4,3,1,Research & Development,9,3,5,23,4,4,5,3,4,Medical,Travel_Rarely
7,3,2,9,5207,1,0,True,True,Single,Research Scientist,2686,4,2,1,Research & Development,1,3,10,13,4,8,10,4,3,Other,Travel_Rarely
1,3,2,8,4077,1,0,False,False,Married,Laboratory Technician,3748,2,6,1,Research & Development,1,3,12,13,4,7,12,2,3,Medical,Travel_Rarely
1,1,3,8,4609,4,1,False,False,Divorced,Research Scientist,2451,3,2,1,Research & Development,14,3,13,12,1,8,9,3,3,Life Sciences,Travel_Rarely
0,4,2,7,4759,1,0,True,True,Married,Laboratory Technician,2119,1,4,1,Research & Development,8,1,7,11,2,7,7,4,3,Other,Travel_Rarely
7,1,4,8,5860,1,2,True,False,Married,Sales Executive,7654,4,3,3,Sales,11,3,9,18,3,7,9,3,3,Marketing,Travel_Rarely
2,4,4,2,3995,1,1,False,True,Divorced,Research Scientist,3065,1,3,1,Research & Development,3,3,4,13,3,3,4,2,3,Medical,Non-Travel
7,4,2,7,25275,7,1,False,False,Divorced,Sales Executive,5304,4,2,2,Sales,27,3,10,23,3,7,8,5,4,Marketing,Travel_Rarely
1,3,2,2,6297,2,0,False,False,Single,Research Scientist,2580,4,0,1,Research & Development,2,3,6,13,4,2,4,3,3,Medical,Travel_Frequently
0,3,4,0,16044,2,0,False,False,Married,Manufacturing Director,5258,3,2,2,Research & Development,7,3,7,14,3,0,1,4,3,Medical,Non-Travel
7,2,2,8,13829,2,1,False,False,Married,Manager,17099,4,2,4,Research & Development,1,3,26,15,4,8,9,2,3,Life Sciences,Travel_Rarely
7,1,3,7,17000,1,1,False,False,Divorced,Manufacturing Director,4724,4,3,2,Research & Development,10,4,9,13,3,2,9,4,3,Life Sciences,Travel_Frequently
1,1,3,2,12740,9,1,False,False,Married,Sales Executive,6538,3,3,2,Sales,4,3,6,15,3,2,3,4,3,Marketing,Non-Travel
1,3,3,2,24444,1,0,False,False,Single,Sales Representative,3447,3,2,1,Sales,22,3,3,11,3,2,3,1,3,Technical Degree,Travel_Rarely
1,2,3,4,12090,1,0,False,True,Single,Sales Executive,4487,4,3,2,Sales,4,2,5,11,2,3,5,2,3,Life Sciences,Travel_Rarely
0,1,3,2,10849,5,1,False,False,Married,Research Director,19081,2,2,5,Research & Development,15,3,25,11,4,3,4,2,3,Life Sciences,Travel_Rarely
0,3,3,0,24223,2,3,False,True,Divorced,Sales Executive,6694,4,5,2,Sales,10,2,8,14,4,0,1,4,3,Life Sciences,Travel_Rarely
0,2,2,0,20234,5,0,False,True,Single,Manufacturing Director,6877,4,4,2,Research & Development,2,2,12,24,3,0,0,3,4,Medical,Travel_Rarely
1,2,3,2,16143,0,0,False,True,Married,Healthcare Representative,4035,3,2,2,Research & Development,4,3,4,16,4,2,3,4,3,Life Sciences,Travel_Rarely
3,3,3,5,12449,1,3,False,False,Married,Laboratory Technician,3196,1,2,1,Research & Development,19,2,6,12,4,3,6,4,3,Medical,Travel_Rarely
2,1,3,2,24785,9,0,True,False,Single,Sales Executive,4577,3,3,2,Sales,3,3,4,14,1,0,2,2,3,Life Sciences,Travel_Rarely
1,4,3,2,17822,3,0,False,False,Married,Human Resources,6410,1,1,2,Human Resources,2,2,9,12,1,0,2,3,3,Human Resources,Travel_Rarely
0,3,3,2,24375,3,2,False,False,Married,Laboratory Technician,3833,3,2,1,Research & Development,1,1,7,21,4,2,2,3,4,Life Sciences,Travel_Rarely
3,3,2,8,15998,1,2,False,True,Married,Laboratory Technician,5126,4,1,2,Research & Development,1,2,10,12,4,0,10,1,3,Life Sciences,Travel_Rarely
3,2,3,2,15395,2,0,False,False,Married,Sales Executive,10596,2,5,3,Sales,2,3,14,11,2,2,4,3,3,Marketing,Travel_Frequently
12,2,3,14,8202,1,3,False,False,Divorced,Healthcare Representative,10096,3,2,3,Research & Development,8,3,17,13,3,8,17,3,3,Technical Degree,Travel_Rarely
6,2,3,10,26496,1,0,False,True,Married,Research Scientist,5747,4,3,2,Research & Development,22,2,16,15,3,11,15,4,3,Other,Travel_Frequently
0,1,3,7,23361,0,1,False,False,Married,Manufacturing Director,5228,2,2,2,Research & Development,1,3,10,15,3,5,9,3,3,Other,Travel_Rarely
4,1,4,7,15986,4,1,True,False,Divorced,Sales Executive,10096,4,1,3,Sales,9,3,28,11,1,3,7,3,3,Marketing,Travel_Rarely
0,3,1,1,26062,1,0,False,False,Married,Laboratory Technician,2794,2,3,1,Research & Development,7,4,5,20,2,3,5,3,4,Life Sciences,Travel_Frequently
0,3,3,4,6582,0,0,True,False,Single,Research Scientist,3102,1,2,1,Research & Development,3,3,7,22,3,4,6,1,4,Technical Degree,Travel_Frequently
0,3,3,0,11585,1,1,True,False,Married,Human Resources,1555,3,2,1,Human Resources,22,1,1,11,4,0,1,1,3,Human Resources,Travel_Rarely
3,3,3,3,22722,1,1,False,True,Married,Healthcare Representative,4741,1,3,2,Research & Development,11,3,5,13,1,3,5,2,3,Medical,Travel_Frequently
4,4,4,4,14864,5,1,False,False,Married,Sales Executive,13525,2,2,4,Sales,26,3,23,14,3,8,20,3,3,Marketing,Travel_Frequently
14,3,1,5,24164,7,0,True,False,Married,Sales Executive,12936,3,3,4,Sales,9,1,25,11,3,10,23,3,3,Life Sciences,Travel_Frequently
2,1,3,2,13251,1,0,False,False,Single,Sales Representative,2783,3,3,1,Sales,2,3,2,19,3,2,2,3,3,Medical,Travel_Rarely
7,4,3,9,9873,3,0,False,False,Single,Manager,16835,2,2,4,Sales,18,3,37,23,1,7,10,5,4,Life Sciences,Travel_Rarely
2,3,3,3,7914,7,0,False,False,Single,Research Director,13464,3,3,3,Research & Development,10,3,9,21,3,2,4,1,4,Medical,Travel_Rarely
12,3,2,12,25796,3,0,False,False,Single,Healthcare Representative,7484,1,1,3,Research & Development,1,2,23,20,1,8,13,4,4,Medical,Travel_Frequently
2,4,3,17,7739,2,1,False,False,Divorced,Sales Executive,13225,1,5,4,Sales,3,4,25,12,1,8,19,3,3,Technical Degree,Travel_Rarely
1,3,2,2,24978,4,0,False,False,Single,Research Scientist,2438,3,2,1,Research & Development,9,3,7,13,1,2,3,3,3,Life Sciences,Non-Travel
0,1,3,0,9051,3,1,False,True,Married,Laboratory Technician,4766,4,4,1,Research & Development,12,3,6,11,2,0,1,4,3,Life Sciences,Travel_Rarely
0,4,3,0,5628,6,0,False,True,Married,Research Scientist,2372,2,2,2,Research & Development,7,4,18,16,2,0,1,4,3,Medical,Travel_Rarely
0,1,3,0,22908,3,0,True,False,Married,Healthcare Representative,9824,3,2,3,Research & Development,20,3,12,12,1,0,1,3,3,Life Sciences,Travel_Frequently
0,3,3,0,12106,1,1,False,True,Married,Laboratory Technician,1702,4,3,1,Research & Development,2,3,1,23,4,0,1,2,4,Life Sciences,Travel_Frequently
0,4,3,4,6698,1,0,False,False,Single,Sales Executive,4859,3,3,2,Sales,1,3,5,16,1,3,5,3,3,Medical,Travel_Rarely
0,3,1,4,17363,9,0,False,False,Married,Laboratory Technician,2950,1,2,1,Research & Development,8,3,12,13,3,4,5,4,3,Other,Travel_Rarely
4,4,3,10,17970,1,1,False,False,Married,Sales Executive,5593,3,2,2,Sales,9,2,15,13,2,12,15,4,3,Life Sciences,Non-Travel
2,3,3,2,5530,0,2,False,False,Married,Sales Representative,2400,4,3,1,Sales,24,3,3,13,4,1,2,3,3,Medical,Travel_Frequently
3,4,3,8,15589,1,0,False,False,Single,Sales Executive,8998,4,2,3,Sales,8,3,9,14,2,7,9,3,3,Marketing,Travel_Frequently
5,1,3,13,7636,0,2,False,False,Married,Sales Executive,4440,2,3,2,Sales,1,3,16,15,4,8,15,4,3,Life Sciences,Travel_Rarely
0,3,3,0,4981,8,0,False,True,Single,Sales Executive,6861,4,1,2,Sales,3,3,19,12,2,0,1,4,3,Life Sciences,Travel_Rarely
4,4,4,12,19494,1,2,False,True,Married,Manager,16959,4,3,4,Sales,26,3,25,12,3,12,25,2,3,Life Sciences,Travel_Frequently
1,3,4,4,13970,0,0,False,True,Single,Research Scientist,4930,4,2,1,Research & Development,2,2,6,14,1,4,5,4,3,Medical,Travel_Frequently
0,3,4,0,23814,4,1,False,False,Divorced,Manufacturing Director,4765,2,2,2,Research & Development,8,3,4,21,1,0,1,3,4,Life Sciences,Travel_Rarely
0,3,3,0,3427,9,0,True,True,Single,Research Scientist,2285,4,4,1,Research & Development,4,3,3,23,3,0,1,3,4,Technical Degree,Travel_Frequently
1,2,3,1,18775,1,0,False,False,Single,Research Scientist,2501,2,4,1,Research & Development,1,3,1,17,3,0,1,4,3,Medical,Travel_Rarely
2,3,3,2,9490,2,1,False,False,Married,Manager,17856,1,3,4,Research & Development,2,3,32,22,4,2,2,3,4,Medical,Travel_Frequently
1,1,3,2,25725,0,0,True,False,Single,Laboratory Technician,2422,2,3,1,Research & Development,5,3,4,17,2,2,3,3,3,Medical,Travel_Frequently
7,2,2,6,12888,4,1,False,False,Divorced,Manager,17181,1,2,4,Research & Development,10,2,21,13,4,7,7,3,3,Life Sciences,Travel_Frequently
1,2,3,3,24812,0,0,False,False,Single,Laboratory Technician,2272,3,2,2,Research & Development,20,3,5,14,1,2,4,1,3,Life Sciences,Travel_Rarely
1,4,3,2,12102,0,1,False,False,Married,Sales Representative,2899,2,3,1,Sales,9,2,3,19,2,2,2,3,3,Marketing,Travel_Rarely
7,1,3,8,20933,1,3,False,False,Divorced,Healthcare Representative,7441,2,4,3,Research & Development,1,3,10,12,1,7,10,4,3,Technical Degree,Travel_Rarely
1,4,3,7,11825,2,0,False,False,Single,Sales Executive,4960,1,2,2,Sales,14,3,20,12,4,7,7,4,3,Marketing,Travel_Rarely
